//
//Main index      Other Papers index              About author
//
//Valid HTML 4.01 Transitional
//Names of characters in HTML and PostScript
//
//Below is a table of the ways of naming characters in HTML, and the names of the matching PostScript glyphs. (Data taken
//in 2005 from www.w3.org/TR/REC-html40/sgml/entities.html and www.adobe.com/devnet/opentype/archives/glyphlist.txt.)
//
//The few characters one might most often wish to copy-paste are available in Characters for copy-pasting.
//
//Julian D. A. Wiseman; December 2005, December 2007, March 2011.
//        Character                                       HTML                           PostScript
//                                                                                      glyph name(s)      Notes
//Dec.       Hex.         Name            Dec.            Hex.            Name
                                          &#160;          &#x00A0;        &nbsp;          nbspace
≡             ≡             ≡             &#8801;         &#x2261;        &equiv;         equivalence     identical to, U+2261 ISOtech
≤             ≤             ≤             &#8804;         &#x2264;        &le;            lessequal       less-than or equal to, U+2264 ISOtech
≥             ≥             ≥             &#8805;         &#x2265;        &ge;            greaterequal    greater-than or equal to, U+2265 ISOtech
⊂             ⊂             ⊂             &#8834;         &#x2282;        &sub;           propersubset
                                                                                          subset          subset of, U+2282 ISOtech
⊃             ⊃             ⊃             &#8835;         &#x2283;        &sup;           propersuperset
                                                                                          superset        superset of, U+2283 ISOtech [note that nsup, 'not a superset of, U+2283' is not covered by the Symbol font encoding and is not included. Should it be, for symmetry? It is in ISOamsn]
⊄             ⊄             ⊄             &#8836;         &#x2284;        &nsub;          notsubset       not a subset of, U+2284 ISOamsn
⊆             ⊆             ⊆             &#8838;         &#x2286;        &sube;          reflexsubset
                                                                                          subsetorequal   subset of or equal to, U+2286 ISOtech
⊇             ⊇             ⊇             &#8839;         &#x2287;        &supe;          reflexsuperset
                                                                                          supersetorequal superset of or equal to, U+2287 ISOtech
⊕             ⊕             ⊕             &#8853;         &#x2295;        &oplus;         circleplus
                                                                                          pluscircle      circled plus = direct sum, U+2295 ISOamsb
⊗             ⊗             ⊗             &#8855;         &#x2297;        &otimes;        circlemultiply
                                                                                          timescircle     circled times = vector product, U+2297 ISOamsb
⊥             ⊥             ⊥             &#8869;         &#x22A5;        &perp;          perpendicular   up tack = orthogonal to = perpendicular, U+22A5 ISOtech
⋅             ⋅             ⋅             &#8901;         &#x22C5;        &sdot;          dotmath         dot operator, U+22C5 ISOamsb [dot operator is NOT the same character as U+00B7 middle dot]
⌈             ⌈             ⌈             &#8968;         &#x2308;        &lceil;                         left ceiling = apl upstile, U+2308 ISOamsc
⌉             ⌉             ⌉             &#8969;         &#x2309;        &rceil;                         right ceiling, U+2309 ISOamsc
⌊             ⌊             ⌊             &#8970;         &#x230A;        &lfloor;                        left floor = apl downstile, U+230A ISOamsc
⌋             ⌋             ⌋             &#8971;         &#x230B;        &rfloor;                        right floor, U+230B ISOamsc
〈           〈             ⟨             &#9001;         &#x2329;        &lang;          angleleft       left-pointing angle bracket = bra, U+2329 ISOtech [lang is NOT the same character as U+003C 'less than' or U+2039 'single left-pointing angle quotation mark']
〉            〉            ⟩             &#9002;         &#x232A;        &rang;          angleright      right-pointing angle bracket = ket, U+232A ISOtech [rang is NOT the same character as U+003E 'greater than' or U+203A 'single right-pointing angle quotation mark']
◊             ◊             ◊             &#9674;         &#x25CA;        &loz;           lozenge         lozenge, U+25CA ISOpub <!-- Miscellaneous Symbols
♠             ♠             ♠             &#9824;         &#x2660;        &spades;        spade
                                                                                          spadesuitblack  black spade suit, U+2660 ISOpub [black here seems to mean filled as opposed to hollow]
♣             ♣             ♣             &#9827;         &#x2663;        &clubs;         club
                                                                                          clubsuitblack   black club suit = shamrock, U+2663 ISOpub [black here seems to mean filled as opposed to hollow]
♥             ♥             ♥             &#9829;         &#x2665;        &hearts;        heart
                                                                                          heartsuitblack  black heart suit = valentine, U+2665 ISOpub [black here seems to mean filled as opposed to hollow]
♦             ♦             ♦             &#9830;         &#x2666;        &diams;         diamond         black diamond suit, U+2666 ISOpub [black here seems to mean filled as opposed to hollow]
"             "             "             &#34;           &#x0022;        &quot;          quotedbl        quotation mark = APL quote, U+0022 ISOnum"
&             &             &             &#38;           &#x0026;        &amp;           ampersand       ampersand, U+0026 ISOnum
<             <             <             &#60;           &#x003C;        &lt;            less            less-than sign, U+003C ISOnum
>             >             >             &#62;           &#x003E;        &gt;            greater         greater-than sign, U+003E ISOnum
Œ             Œ             Œ             &#338;          &#x0152;        &OElig;         OE              latin capital ligature OE, U+0152 ISOlat2
œ             œ             œ             &#339;          &#x0153;        &oelig;         oe              latin small ligature oe, U+0153 ISOlat2 [ligature is a misnomer, this is a separate character in some languages]
Š             Š             Š             &#352;          &#x0160;        &Scaron;        Scaron          latin capital letter S with caron, U+0160 ISOlat2
š             š             š             &#353;          &#x0161;        &scaron;        scaron          latin small letter s with caron, U+0161 ISOlat2
Ÿ             Ÿ             Ÿ             &#376;          &#x0178;        &Yuml;          Ydieresis       latin capital letter Y with diaeresis, U+0178 ISOlat2
ˆ             ˆ             ˆ             &#710;          &#x02C6;        &circ;          circumflex      modifier letter circumflex accent, U+02C6 ISOpub
˜             ˜             ˜             &#732;          &#x02DC;        &tilde;         ilde
                                                                                          tilde           small tilde, U+02DC ISOdia
                                          &#8194;         &#x2002;        &ensp;          enspace         en space, U+2002 ISOpub
                                          &#8195;         &#x2003;        &emsp;                          em space, U+2003 ISOpub
                                          &#8201;         &#x2009;        &thinsp;                        thin space, U+2009 ISOpub
                                          &#8204;         &#x200C;        &zwnj;          afii61664
                                                                                          zerowidthnonjoiner              zero width non-joiner, U+200C NEW RFC 2070
                                          &#8205;         &#x200D;        &zwj;           afii301         zero width joiner, U+200D NEW RFC 2070
                                          &#8206;         &#x200E;        &lrm;           afii299         left-to-right mark, U+200E NEW RFC 2070
                                          &#8207;         &#x200F;        &rlm;           afii300         right-to-left mark, U+200F NEW RFC 2070
–             –             –             &#8211;         &#x2013;        &ndash;         endash          en dash, U+2013 ISOpub
—             —             —             &#8212;         &#x2014;        &mdash;         emdash          em dash, U+2014 ISOpub
‘             ‘             ‘             &#8216;         &#x2018;        &lsquo;         quoteleft       left single quotation mark, U+2018 ISOnum
’             ’             ’             &#8217;         &#x2019;        &rsquo;         quoteright      right single quotation mark, U+2019 ISOnum
‚             ‚             ‚             &#8218;         &#x201A;        &sbquo;         quotesinglbase  single low-9 quotation mark, U+201A NEW
“             “             “             &#8220;         &#x201C;        &ldquo;         quotedblleft    left double quotation mark, U+201C ISOnum
”             ”             ”             &#8221;         &#x201D;        &rdquo;         quotedblright   right double quotation mark, U+201D ISOnum
„             „             „             &#8222;         &#x201E;        &bdquo;         quotedblbase    double low-9 quotation mark, U+201E NEW
†             †             †             &#8224;         &#x2020;        &dagger;        dagger          dagger, U+2020 ISOpub
‡             ‡             ‡             &#8225;         &#x2021;        &Dagger;        daggerdbl       double dagger, U+2021 ISOpub
‰             ‰             ‰             &#8240;         &#x2030;        &permil;        perthousand     per mille sign, U+2030 ISOtech
‹             ‹             ‹             &#8249;         &#x2039;        &lsaquo;        guilsinglleft   single left-pointing angle quotation mark, U+2039 ISO proposed [lsaquo is proposed but not yet ISO standardized]
›             ›             ›             &#8250;         &#x203A;        &rsaquo;        guilsinglright  single right-pointing angle quotation mark, U+203A ISO proposed [rsaquo is proposed but not yet ISO standardized]
€             €             €             &#8364;         &#x20AC;        &euro;          Euro            euro sign, U+20AC NEW
                                      &#1;            &#x0001;                        controlSTX      
                                      &#2;            &#x0002;                        controlSOT      
                                      &#3;            &#x0003;                        controlETX      
                                      &#4;            &#x0004;                        controlEOT      
                                      &#5;            &#x0005;                        controlENQ      
                                      &#6;            &#x0006;                        controlACK      
                                      &#7;            &#x0007;                        controlBEL      
                                      &#8;            &#x0008;                        controlBS       
                                          &#9;            &#x0009;                        controlHT       
                                          &#10;           &#x000A;                        controlLF       
                                      &#11;           &#x000B;                        controlVT       
                                      &#12;           &#x000C;                        controlFF       
                                          &#13;           &#x000D;                        controlCR       
                                      &#14;           &#x000E;                        controlSO       
                                      &#15;           &#x000F;                        controlSI       
                                      &#16;           &#x0010;                        controlDLE      
