//
//Main index      Other Papers index              About author
//
//Valid HTML 4.01 Transitional
//Names of characters in HTML and PostScript
//
//Below is a table of the ways of naming characters in HTML, and the names of the matching PostScript glyphs. (Data taken
//in 2005 from www.w3.org/TR/REC-html40/sgml/entities.html and www.adobe.com/devnet/opentype/archives/glyphlist.txt.)
//
//The few characters one might most often wish to copy-paste are available in Characters for copy-pasting.
//
//Julian D. A. Wiseman; December 2005, December 2007, March 2011.
//        Character                                       HTML                           PostScript
//                                                                                      glyph name(s)      Notes
//Dec.       Hex.         Name            Dec.            Hex.            Name
                                          &#160;          &#x00A0;        &nbsp;          nbspace
μ             μ             μ             &#956;          &#x03BC;        &mu;            mugreek         greek small letter mu, U+03BC ISOgrk3
ν             ν             ν             &#957;          &#x03BD;        &nu;            nu              greek small letter nu, U+03BD ISOgrk3
ξ             ξ             ξ             &#958;          &#x03BE;        &xi;            xi              greek small letter xi, U+03BE ISOgrk3
ο             ο             ο             &#959;          &#x03BF;        &omicron;       omicron         greek small letter omicron, U+03BF NEW
π             π             π             &#960;          &#x03C0;        &pi;            pi              greek small letter pi, U+03C0 ISOgrk3
ρ             ρ             ρ             &#961;          &#x03C1;        &rho;           rho             greek small letter rho, U+03C1 ISOgrk3
ς             ς             ς             &#962;          &#x03C2;        &sigmaf;        sigma1
                                                                                          sigmafinal      greek small letter final sigma, U+03C2 ISOgrk3
σ             σ             σ             &#963;          &#x03C3;        &sigma;         sigma           greek small letter sigma, U+03C3 ISOgrk3
τ             τ             τ             &#964;          &#x03C4;        &tau;           tau             greek small letter tau, U+03C4 ISOgrk3
υ             υ             υ             &#965;          &#x03C5;        &upsilon;       upsilon         greek small letter upsilon, U+03C5 ISOgrk3
φ             φ             φ             &#966;          &#x03C6;        &phi;           phi             greek small letter phi, U+03C6 ISOgrk3
χ             χ             χ             &#967;          &#x03C7;        &chi;           chi             greek small letter chi, U+03C7 ISOgrk3
ψ             ψ             ψ             &#968;          &#x03C8;        &psi;           psi             greek small letter psi, U+03C8 ISOgrk3
ω             ω             ω             &#969;          &#x03C9;        &omega;         omega           greek small letter omega, U+03C9 ISOgrk3
ϑ             ϑ             ϑ             &#977;          &#x03D1;        &thetasym;      theta1
                                                                                          thetasymbolgreek  greek small letter theta symbol, U+03D1 NEW
ϒ             ϒ             ϒ             &#978;          &#x03D2;        &upsih;         Upsilon1
                                                                                          Upsilonhooksymbol greek upsilon with hook symbol, U+03D2 NEW
ϖ             ϖ             ϖ             &#982;          &#x03D6;        &piv;           omega1
                                                                                          pisymbolgreek     greek pi symbol, U+03D6 ISOgrk3
•             •             •             &#8226;         &#x2022;        &bull;          bullet          bullet = black small circle, U+2022 ISOpub [bullet is NOT the same as bullet operator, U+2219]
…             …             …             &#8230;         &#x2026;        &hellip;        ellipsis        horizontal ellipsis = three dot leader, U+2026 ISOpub
′             ′             ′             &#8242;         &#x2032;        &prime;         minute          prime = minutes = feet, U+2032 ISOtech
″             ″             ″             &#8243;         &#x2033;        &Prime;         second          double prime = seconds = inches, U+2033 ISOtech
‾             ‾             ‾             &#8254;         &#x203E;        &oline;         overline        overline = spacing overscore, U+203E NEW
⁄             ⁄             ⁄             &#8260;         &#x2044;        &frasl;         fraction        fraction slash, U+2044 NEW
℘             ℘             ℘             &#8472;         &#x2118;        &weierp;        weierstrass     script capital P = power set = Weierstrass p, U+2118 ISOamso
ℑ             ℑ             ℑ             &#8465;         &#x2111;        &image;         Ifraktur        blackletter capital I = imaginary part, U+2111 ISOamso
ℜ             ℜ             ℜ             &#8476;         &#x211C;        &real;          Rfraktur        blackletter capital R = real part symbol, U+211C ISOamso
™             ™             ™             &#8482;         &#x2122;        &trade;         trademark       trade mark sign, U+2122 ISOnum
ℵ             ℵ             ℵ             &#8501;         &#x2135;        &alefsym;       aleph           alef symbol = first transfinite cardinal, U+2135 NEW [alef symbol is NOT the same as hebrew letter alef, U+05D0 although the same glyph could be used to depict both characters]
←             ←             ←             &#8592;         &#x2190;        &larr;          arrowleft       leftwards arrow, U+2190 ISOnum
↑             ↑             ↑             &#8593;         &#x2191;        &uarr;          arrowup         upwards arrow, U+2191 ISOnum
→             →             →             &#8594;         &#x2192;        &rarr;          arrowright      rightwards arrow, U+2192 ISOnum
↓             ↓             ↓             &#8595;         &#x2193;        &darr;          arrowdown       downwards arrow, U+2193 ISOnum
